"Link","Title","ID","Author","Created","Closed","Votes","ItemType","Status"
"http://connect.microsoft.com/SQLServer/feedback/details/2444595/","Import-Module SQLPS throws exception related to PowerShell Editor Services version","2444595","Chrissy LeMaire","3/7/2016","05/13/2016","9","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2166732/","SSAS Tabular - Visual Studio crashes when create KPI","2166732","bulldog___","12/24/2015","05/13/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/629077/","[Denali Engine] : Metadata discovery shuns #temp tables","629077","AaronBertrand","12/6/2010","05/13/2016","15","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2671113/","Cost Threshold for Parallelism documentation incorrect","2671113","Erin Stellato","5/5/2016","05/10/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/625096/","Syntax error in sp_readrequest prevents proper error and can halt DB Mail","625096","AaronBertrand","11/27/2010","05/10/2016","8","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/776664/","SSIS 2012 Control Flow moving objects is unusable","776664","Mike Honey - Manga Solutions","1/15/2013","05/10/2016","112","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/337727/","Katmai Reporting Services 2008 Ruler not on by default and does not persist","337727","Geoff Orr","4/10/2008","05/09/2016","7","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2510124/","SSRS 2016 RC1 Hide DataSet Folder","2510124","Sauget Charles Henri","3/24/2016","05/13/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/873249/","SSMS 2014 ""New trigger"" is disabled for older (2012, 2008R2) versions of SQL Server","873249","Daryl_Davis","5/14/2014","05/13/2016","27","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/827915/","SqlCmd quits without error with combination of embedded comments and curly braces","827915","ReadyRoll [Daniel Nolan]","3/4/2014","05/13/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2310402/","DACPAC Deploy Dropping Objects I told it not to","2310402","Dlloyd","2/1/2016","05/13/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/923424/","Create DML Trigger With Execute As Underlined by Intellisense","923424","randomnote_1","7/18/2014","04/29/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/683594/","Backup-SqlDatabase cmdlet help","683594","Ana Mihalj","8/9/2011","04/29/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2616839/","SSMS 2016 crash when typing field names in to TSQL window","2616839","Chris Proud","4/21/2016","04/29/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/370419/","BULK INSERT and BCP does not recognize codepage 65001","370419","Erland  Sommarskog","9/28/2008","04/29/2016","48","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1272782/","SSAS parition creation/modification breaks when SSDT 2012 is installed with SSDT-BI 2012","1272782","Angela Henry","4/23/2015","04/29/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/774317/","SQL Server Management Studio 2012/2014 crashes when closing","774317","Christopher Haws","12/13/2012","04/29/2016","149","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2099552/","/x:LocationToExtract causes command line install to extract and stop","2099552","Tony461","12/6/2015","04/29/2016","0","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/344150/","SSMS : Grid will not display > 43,679 characters from VARCHAR(MAX)","344150","AaronBertrand","5/14/2008","04/29/2016","4","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/772761/","DTSWizard in SQL 2012 SP1 no longer recognizes nvarchar/varchar data types when source is a query","772761","AlbertoMango","11/29/2012","04/29/2016","146","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2503095/","SSDT 14.0.60316.0 Failed to start project","2503095","A_Phillips","3/22/2016","04/29/2016","6","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2486332/","ScriptDom Parser bug - valid T-SQL does not parse successfully","2486332","Dominic_F","3/18/2016","04/22/2016","17","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1055241/","SQL 2014 takes hours to generate a query plan for a complex query with many left outer joins","1055241","geoff patterson","12/14/2014","04/22/2016","14","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1053921/","Receiving error ""A severe error occurred on the current command"" on accessing sys.sql_modules","1053921","Daniel Adeniji","12/13/2014","04/22/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1230222/","SSRS EffectiveUserName does not work for Power View reports with embedded/custom connections (SharePoint)","1230222","drewskyjones","4/6/2015","04/22/2016","5","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2601762/","Syntax graph for ALTER SECURITY POLICY fails to include option to change state","2601762","Erland  Sommarskog","4/17/2016","04/22/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2576662/","SQL Server 2016: Specify Developer edition from command line parameter or configuration file install","2576662","code jockey2","4/11/2016","04/22/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2453118/","Mobile Report Publisher - SSRS RC0","2453118","Matt Joines","3/9/2016","04/22/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1951581/","Search is not possible into reports containing characters with accents when exported to PDF format.  Copying text from PDF reports not working when the PDF contains characters with accents.","1951581","Linn9000","10/27/2015","04/22/2016","6","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2451161/","More than one column groups causing width problems (min-width inheritance issues)","2451161","SantoshJogalekar12345","3/8/2016","04/22/2016","0","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/691535/","Aggregates Don't Follow the Semantics Of CASE","691535","Paul White NZ","9/28/2011","04/22/2016","7","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/881561/","Error 1723 during the installation of Report Builder 2014","881561","Philippe Geiger","5/26/2014","04/22/2016","16","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2577381/","SSDT: Field not found: 'Microsoft.SqlServer.IntegrationServices.Wizard.Common.Model.DeploymentModel.TargetServerVersion'.","2577381","Drummer0512","4/11/2016","04/22/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2159513/","Ambiguous error (and major bug) when entering certain characters in KPI names","2159513","Kyle Hale","12/22/2015","04/15/2016","2","Bug","Closed"
